Movie Title,Genre(s),Year of Release,Letterboxd Rating,IMDb Rating,Runtime (mins),Synopsis,Country,Original Language,Production Studio,Budget,Box Office Gross,Awards
Shutter Island,"Drama, Mystery, Thriller",2010,4.1,8.2,138,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",United States,"English, German",N/A,"$128,012,934","$128,012,934",11 wins & 66 nominations total
Ratatouille,"Animation, Adventure, Comedy",2007,4.2,8.1,111,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart’s delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris’ finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",United States,"English, French",N/A,"$206,445,654","$206,445,654",Won 1 Oscar. 68 wins & 42 nominations total
Anora,"Comedy, Drama, Romance",2024,3.9,7.8,139,"Anora, a young sex worker from Brooklyn, gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.",United States,"English, Russian, Armenian",N/A,"$16,300,129","$16,300,129",Won 5 Oscars. 144 wins & 267 nominations total
Wicked,"Fantasy, Musical, Romance",2024,3.9,8.0,162,"When ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda, the two’s unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.","United States, Japan, Canada, Iceland, United Kingdom",English,N/A,"$465,905,925","$465,905,925",Nominated for 7 BAFTA 47 wins & 232 nominations total
Avengers: Infinity War,"Action, Adventure, Sci-Fi",2018,4.0,8.4,149,,"United States, Norway",English,N/A,"$678,815,482","$678,815,482",Nominated for 1 Oscar. 48 wins & 81 nominations total
Django Unchained,"Comedy, Drama, Western",2012,4.3,8.5,165,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",United States,"English, German, French, Italian",N/A,"$162,805,434","$162,805,434",Won 2 Oscars. 58 wins & 158 nominations total
Fantastic Mr. Fox,"Animation, Adventure, Comedy",2009,4.3,7.9,87,"The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",United States,"English, French",N/A,"$21,002,919","$21,002,919",Nominated for 2 Oscars. 32 wins & 63 nominations total
Baby Driver,"Action, Crime, Drama",2017,3.7,7.5,113,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","United Kingdom, United States","English, American Sign ",N/A,"$107,825,862","$107,825,862",Nominated for 3 Oscars. 43 wins & 66 nominations total
(500) Days of Summer,"Documentary, Short",2009,3.7,7.7,95,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",USA,English,N/A,N/A,N/A,N/A
Avengers: Endgame,"Action, Adventure, Sci-Fi",2019,3.9,8.4,181,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos’ actions and restore order to the universe once and for all, no matter what consequences may be in store.",United States,"English, Japanese, Xhosa, German",N/A,"$858,373,000","$858,373,000",Nominated for 1 Oscar. 71 wins & 133 nominations total
The Perks of Being a Wallflower,Drama,2012,4.0,7.9,103,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",United States,English,N/A,"$17,742,948","$17,742,948",20 wins & 51 nominations total
Good Will Hunting,"Drama, Romance",1997,4.3,8.3,127,,United States,English,N/A,"$138,433,435","$138,433,435",Won 2 Oscars. 25 wins & 61 nominations total
Hereditary,"Drama, Horror, Mystery",2018,4.0,7.3,128,"Following the death of the Leigh family matriarch, Annie and her children uncover disturbing secrets about their heritage. Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness.",United States,"English, Spanish",N/A,"$44,069,456","$44,069,456",52 wins & 113 nominations total
Deadpool & Wolverine,"Action, Adventure, Comedy",2024,3.5,7.6,128,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","United States, United Kingdom, New Zealand, Canada","English, French, Spanish",N/A,"$636,745,858","$636,745,858",13 wins & 52 nominations total
Inside Out 2,"Animation, Adventure, Comedy",2024,3.6,7.6,97,"Teenager Riley’s mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",United States,"English, French, Spanish",N/A,"$652,980,194","$652,980,194",Nominated for 1 Oscar. 3 wins & 83 nominations total
The Social Network,"Biography, Drama",2010,3.9,7.8,121,"In 2003, Harvard undergrad and computer programmer Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, Mark is one of the youngest billionaires ever, but his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.",United States,"English, French",N/A,"$96,962,694","$96,962,694",Won 3 Oscars. 174 wins & 188 nominations total
Her,"Drama, Romance, Sci-Fi",2013,4.0,8.0,126,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user’s every need. To Theodore’s surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",United States,English,N/A,"$25,568,251","$25,568,251",Won 1 Oscar. 83 wins & 186 nominations total
The Matrix,"Action, Sci-Fi",1999,4.2,8.7,136,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","United States, Australia",English,N/A,"$172,076,928","$172,076,928",Won 4 Oscars. 42 wins & 52 nominations total
Glass Onion,"Comedy, Crime, Drama",2022,3.4,7.1,140,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,United States,"English, French",N/A,"$13,280,000","$13,280,000",Nominated for 1 Oscar. 52 wins & 137 nominations total
Scott Pilgrim vs. the World,"Action, Comedy, Fantasy",2010,3.9,7.5,113,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.","United States, United Kingdom, Canada, Japan",English,N/A,"$33,525,605","$33,525,605",18 wins & 66 nominations total
Taxi Driver,"Crime, Drama",1976,4.1,8.2,114,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,United States,"English, Spanish",N/A,"$28,262,574","$28,262,574",Nominated for 4 Oscars. 22 wins & 21 nominations total
Inside Out,"Animation, Adventure, Comedy",2015,3.8,8.1,95,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",United States,"English, Portuguese, Latvian",N/A,"$356,461,711","$356,461,711",Won 1 Oscar. 99 wins & 118 nominations total
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy",2001,4.4,8.9,179,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","New Zealand, United States, United Kingdom","English, Sindarin",N/A,"$319,372,078","$319,372,078",Won 4 Oscars. 125 wins & 126 nominations total
The Shawshank Redemption,Drama,1994,4.6,9.3,142,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates – including an older prisoner named Red – for his integrity and unquenchable sense of hope.",United States,English,N/A,"$28,767,189","$28,767,189",Nominated for 7 Oscars. 21 wins & 42 nominations total
